5A8	Aleknagik / New Airport
KFKL	Venango Regional Airport
KFLG	Flagstaff Pulliam Airport
KFLL	Fort Lauderdale Hollywood International Airport
KFLO	Florence Regional Airport
KFME	Tipton Airport
KFMN	Four Corners Regional Airport
KFMY	Page Field
KFNT	Bishop International Airport
KFOD	Fort Dodge Regional Airport
KFOE	Topeka Regional Airport - Forbes Field
KFPR	St Lucie County International Airport
KFRG	Republic Airport
KFRI	Marshall Army Air Field
KFSD	Joe Foss Field Airport
KFSI	Henry Post Army Air Field (Fort Sill)
KFSM	Fort Smith Regional Airport
KFST	Fort Stockton Pecos County Airport
KFTK	Godman Army Air Field
KFTW	Fort Worth Meacham International Airport
KFTY	Fulton County Airport Brown Field
KFWA	Fort Wayne International Airport
KFXE	Fort Lauderdale Executive Airport
KFYV	Drake Field
KG-0001	Jalal-Abad Airport
KGCC	Gillette Campbell County Airport
KGCK	Garden City Regional Airport
KGCN	Grand Canyon National Park Airport
KGDV	Dawson Community Airport
KGEG	Spokane International Airport
KGFK	Grand Forks International Airport
KGFL	Floyd Bennett Memorial Airport
KGGG	East Texas Regional Airport
KGGW	Wokal Field Glasgow International Airport
KGJT	Grand Junction Regional Airport
KGLD	Renner Field-Goodland Municipal Airport
KGLH	Mid Delta Regional Airport
KGLS	Scholes International At Galveston Airport
KGMU	Greenville Downtown Airport
KGNV	Gainesville Regional Airport
KGON	Groton New London Airport
KGPI	Glacier Park International Airport
KGPT	Gulfport Biloxi International Airport
KGRB	Austin Straubel International Airport
KGRF	Gray Army Air Field
KGRI	Central Nebraska Regional Airport
KGRK	Robert Gray  Army Air Field Airport
KGRR	Gerald R. Ford International Airport
KGSB	Seymour Johnson Air Force Base
KGSO	Piedmont Triad International Airport
KGSP	Greenville Spartanburg International Airport
KGTB	Wheeler Sack Army Air Field
KGTF	Great Falls International Airport
KGTR	Golden Triangle Regional Airport
KGUP	Gallup Municipal Airport
KGUS	Grissom Air Reserve Base
KGUY	Guymon Municipal Airport
KGWO	Greenwoodâ€“Leflore Airport
KGYY	Gary Chicago International Airport
KHBG	Hattiesburg Bobby L Chain Municipal Airport
KHBR	Hobart Regional Airport
KHFD	Hartford Brainard Airport
KHGR	Hagerstown Regional Richard A Henson Field
KHHR	Jack Northrop Field Hawthorne Municipal Airport
KHIB	Range Regional Airport
KHIF	Hill Air Force Base
KHIO	Portland Hillsboro Airport
KHKY	Hickory Regional Airport
KHLG	Wheeling Ohio County Airport
KHLN	Helena Regional Airport
KHLR	Hood Army Air Field
KHMN	Holloman Air Force Base
KHOB	Lea County Regional Airport
KHON	Huron Regional Airport
KHOP	Campbell AAF (Fort Campbell) Air Field
KHOT	Memorial Field
KHOU	William P Hobby Airport
KHPN	Westchester County Airport
KHQM	Bowerman Airport
KHRL	Valley International Airport
KHRO	Boone County Airport
KHRT	Hurlburt Field
KHST	Homestead ARB Airport
KHSV	Huntsville International Carl T Jones Field
KHTS	Tri-State/Milton J. Ferguson Field
KHUA	Redstone Army Air Field
KHUF	Terre Haute Regional Airport, Hulman Field
KHUL	Houlton International Airport
KHUT	Hutchinson Municipal Airport
KHVN	Tweed New Haven Airport
KHVR	Havre City County Airport
KHYA	Barnstable Municipal Boardman Polando Field
KHYI	San Marcos Regional Airport
KHYR	Sawyer County Airport
KHYS	Hays Regional Airport
KIAB	Mc Connell Air Force Base
KIAD	Washington Dulles International Airport
KIAG	Niagara Falls International Airport
KIAH	George Bush Intercontinental Houston Airport
KICT	Wichita Eisenhower National Airport
KIDA	Idaho Falls Regional Airport
KIKK	Greater Kankakee Airport
KILG	New Castle Airport
KILM	Wilmington International Airport
KILN	Wilmington Airpark
KIND	Indianapolis International Airport
KINK	Winkler County Airport
KINL	Falls International Airport
KINT	Smith Reynolds Airport
KINW	Winslow Lindbergh Regional Airport
KIPL	Imperial County Airport
KIPT	Williamsport Regional Airport
KIRK	Kirksville Regional Airport
KISM	Kissimmee Gateway Airport
KISN	Sloulin Field International Airport
KISO	Kinston Regional Jetport At Stallings Field
KISP	Long Island Mac Arthur Airport
KITH	Ithaca Tompkins Regional Airport
KIWA	Phoenix-Mesa-Gateway Airport
KJAC	Jackson Hole Airport
KJAN	Jackson-Medgar Wiley Evers International Airport
KJAX	Jacksonville International Airport
KJBR	Jonesboro Municipal Airport
KJCT	Kimble County Airport
KJFK	John F Kennedy International Airport
KJHW	Chautauqua County-Jamestown Airport
KJKL	Julian Carroll Airport
KJLN	Joplin Regional Airport
KJMS	Jamestown Regional Airport
KJST	John Murtha Johnstown Cambria County Airport
KJXN	Jackson County Reynolds Field
KKLS	Southwest Washington Regional Airport
KLAF	Purdue University Airport
KLAL	Lakeland Linder International Airport
KLAN	Capital City Airport
KLAR	Laramie Regional Airport
KLAS	McCarran International Airport
KLAW	Lawton Fort Sill Regional Airport
KLAX	Los Angeles International Airport
KLBB	Lubbock Preston Smith International Airport
KLBE	Arnold Palmer Regional Airport
KLBF	North Platte Regional Airport Lee Bird Field
KLBL	Liberal Mid-America Regional Airport
KLBT	Lumberton Regional Airport
KLBX	Texas Gulf Coast Regional Airport
KLCH	Lake Charles Regional Airport
KLCK	Rickenbacker International Airport
KLEB	Lebanon Municipal Airport
KLEE	Leesburg International Airport
KLEX	Blue Grass Airport
KLFI	Langley Air Force Base
KLFK	Angelina County Airport
KLFT	Lafayette Regional Airport
KLGA	La Guardia Airport
KLGB	Long Beach /Daugherty Field/ Airport
KLGU	Logan-Cache Airport
KLIT	Bill & Hillary Clinton National Airport/Adams Field
KLLQ	Monticello Municipal Ellis Field
KLMT	Crater Lake-Klamath Regional Airport
KLND	Hunt Field
KLNK	Lincoln Airport
KLNS	Lancaster Airport
KLOL	Derby Field
KLOU	Bowman Field
KLOZ	London-Corbin Airport/Magee Field
KLRD	Laredo International Airport
KLRF	Little Rock Air Force Base
KLRU	Las Cruces International Airport
KLSE	La Crosse Municipal Airport
KLSF	Lawson Army Air Field (Fort Benning)
KLSV	Nellis Air Force Base
KLTS	Altus Air Force Base
KLUF	Luke Air Force Base
KLUK	Cincinnati Municipal Airport Lunken Field
KLVM	Mission Field
KLVS	Las Vegas Municipal Airport
KLWB	Greenbrier Valley Airport
KLWM	Lawrence Municipal Airport
KLWS	Lewiston Nez Perce County Airport
KLWT	Lewistown Municipal Airport
KLYH	Lynchburg Regional Preston Glenn Field
KMAF	Midland International Airport
KMBG	Mobridge Municipal Airport
KMBS	MBS International Airport
KMCB	Mc Comb/Pike County Airport/John E Lewis Field
KMCC	Mc Clellan Airfield
KMCE	Merced Regional Macready Field
KMCF	Mac Dill Air Force Base
KMCI	Kansas City International Airport
KMCK	Mc Cook Ben Nelson Regional Airport
KMCN	Middle Georgia Regional Airport
KMCO	Orlando International Airport
KMCW	Mason City Municipal Airport
KMDH	Southern Illinois Airport
KMDT	Harrisburg International Airport
KMDW	Chicago Midway International Airport
KMEI	Key Field
KMEM	Memphis International Airport
KMER	Castle Airport
KMFD	Mansfield Lahm Regional Airport
KMFE	Mc Allen Miller International Airport
KMFR	Rogue Valley International Medford Airport
KMGE	Dobbins Air Reserve Base
KMGM	Montgomery Regional (Dannelly Field) Airport
KMGW	Morgantown Municipal Walter L. Bill Hart Field
KMHK	Manhattan Regional Airport
KMHR	Sacramento Mather Airport
KMHT	Manchester-Boston Regional Airport
KMIA	Miami International Airport
KMIB	Minot Air Force Base
KMIE	Delaware County Johnson Field
KMIV	Millville Municipal Airport
KMKC	Charles B. Wheeler Downtown Airport
KMKE	General Mitchell International Airport
KMKL	McKellar-Sipes Regional Airport
KMLB	Melbourne International Airport
KMLC	Mc Alester Regional Airport
KMLI	Quad City International Airport
KMLS	Frank Wiley Field
KMLU	Monroe Regional Airport
KMMT	Mc Entire Joint National Guard Base
KMMU	Morristown Municipal Airport
KMMV	Mc Minnville Municipal Airport
KMOB	Mobile Regional Airport
KMOD	Modesto City Co-Harry Sham Field
KMOT	Minot International Airport
KMPV	Edward F Knapp State Airport
KMQY	Smyrna Airport
KMRB	Eastern WV Regional Airport/Shepherd Field
KMRY	Monterey Peninsula Airport
KMSL	Northwest Alabama Regional Airport
KMSN	Dane County Regional Truax Field
KMSO	Missoula International Airport
KMSP	Minneapolis-St Paul International/Wold-Chamberlain Airport
KMSS	Massena International Richards Field
KMSY	Louis Armstrong New Orleans International Airport
KMTC	Selfridge Air National Guard Base Airport
KMTH	The Florida Keys Marathon Airport
KMTJ	Montrose Regional Airport
KMTN	Martin State Airport
KMUI	Muir Army Air Field (Fort Indiantown Gap) Airport
KMUO	Mountain Home Air Force Base
KMWH	Grant County International Airport
KMXF	Maxwell Air Force Base
KMYL	McCall Municipal Airport
KMYR	Myrtle Beach International Airport
KMYV	Yuba County Airport
KNBC	Beaufort MCAS - Merritt Field
KNBG	New Orleans NAS JRB/Alvin Callender Field
KNCA	New River MCAS /H/ /Mccutcheon Fld/ Airport
KNDZ	Whiting Field Naval Air Station South Airport
KNEL	Lakehurst Maxfield Field Airport
KNEW	Lakefront Airport
KNFG	Camp Pendleton MCAS (Munn Field) Airport
KNFL	Fallon Naval Air Station
KNFW	NAS Fort Worth JRB/Carswell Field
KNGP	Corpus Christi Naval Air Station/Truax Field
KNGU	Norfolk Naval Station (Chambers Field)
KNHK	Patuxent River Naval Air Station (Trapnell Field)
KNHZ	Brunswick Executive Airport
KNID	China Lake Naws (Armitage Field) Airport
KNIP	Jacksonville Naval Air Station (Towers Field)
KNJK	El Centro NAF Airport (Vraciu Field)
KNKT	Cherry Point MCAS /Cunningham Field/
KNKX	Miramar Marine Corps Air Station - Mitscher Field
KNLC	Lemoore Naval Air Station (Reeves Field) Airport
KNMM	Meridian Naval Air Station
KNPA	Pensacola Naval Air Station/Forrest Sherman Field
KNQA	Millington-Memphis Airport
KNQI	Kingsville Naval Air Station
KNQX	Naval Air Station Key West/Boca Chica Field
KNRB	Naval Station Mayport (Admiral David L. Mcdonald Field)
KNSE	Whiting Field Naval Air Station - North
KNTD	Point Mugu Naval Air Station (Naval Base Ventura Co)
KNTU	Oceana Naval Air Station
KNUQ	Moffett Federal Airfield
KNUW	Whidbey Island Naval Air Station (Ault Field)
KNXP	Twentynine Palms (Self) Airport
KNYG	Quantico MCAF /Turner field
KNYL	Yuma MCAS/Yuma International Airport
KNZY	North Island Naval Air Station-Halsey Field
KOAJ	Albert J Ellis Airport
KOAK	Metropolitan Oakland International Airport
KOFF	Offutt Air Force Base
KOFK	Karl Stefan Memorial Airport
KOGB	Orangeburg Municipal Airport
KOGD	Ogden Hinckley Airport
KOKC	Will Rogers World Airport
KOLF	L M Clayton Airport
KOLM	Olympia Regional Airport
KOLS	Nogales International Airport
KOLU	Columbus Municipal Airport
KOMA	Eppley Airfield
KONP	Newport Municipal Airport
KONT	Ontario International Airport
KOPF	Opa-locka Executive Airport
KOQU	Quonset State Airport
KORD	Chicago O'Hare International Airport
KORF	Norfolk International Airport
KORH	Worcester Regional Airport
KOSH	Wittman Regional Airport
KOSU	The Ohio State University Airport - Don Scott Field
KOTH	Southwest Oregon Regional Airport
KOTM	Ottumwa Regional Airport
KOWB	Owensboro Daviess County Airport
KOWD	Norwood Memorial Airport
KOXR	Oxnard Airport
KOZR	Cairns AAF (Fort Rucker) Air Field
KP-0002	Haeju Airfield
KP-0012	Kwaksan Air Base
KP-0015	Koksan Air Base
KP-0020	Hwangju Airbase
KP-0022	Pukchang Air Base
KP-0025	Toksan Air Base
KP-0032	Orang Airport
KP-0035	Hwangsuwon Airbase
KP-0036	Changjin Air Force Base
KP-0038	Riwon Airbase
KP-0039	Kwail Air Base
KP-0041	Uthachi Highway Strip Airport
KP-0068	Koksan 2 Highway Strip
KPAE	Snohomish County (Paine Field) Airport
KPAH	Barkley Regional Airport
KPAM	Tyndall Air Force Base
KPBF	Pine Bluff Regional Airport, Grider Field
KPBG	Plattsburgh International Airport
KPBI	Palm Beach International Airport
KPDK	DeKalb Peachtree Airport
KPDT	Eastern Oregon Regional At Pendleton Airport
KPDX	Portland International Airport
KPGA	Page Municipal Airport
KPGV	Pitt Greenville Airport
KPHF	Newport News Williamsburg International Airport
KPHL	Philadelphia International Airport
KPHX	Phoenix Sky Harbor International Airport
KPIA	General Wayne A. Downing Peoria International Airport
KPIB	Hattiesburg Laurel Regional Airport
KPIE	St Petersburg Clearwater International Airport
KPIH	Pocatello Regional Airport
KPIR	Pierre Regional Airport
KPIT	Pittsburgh International Airport
KPKB	Mid Ohio Valley Regional Airport
KPLN	Pellston Regional Airport of Emmet County Airport
KPMD	Palmdale Regional/USAF Plant 42 Airport
KPNA	Ralph Wenz Field
KPNC	Ponca City Regional Airport
KPNE	Northeast Philadelphia Airport
KPNS	Pensacola Regional Airport
KPOB	Pope Field
KPOE	Polk Army Air Field
KPOU	Dutchess County Airport
KPQI	Northern Maine Regional Airport at Presque Isle
KPRB	Paso Robles Municipal Airport
KPRC	Ernest A. Love Field
KPRX	Cox Field
KPSC	Tri Cities Airport
KPSM	Portsmouth International at Pease Airport
KPSP	Palm Springs International Airport
KPTK	Oakland County International Airport
KPUW	Pullman Moscow Regional Airport
KPVD	Theodore Francis Green State Airport
KPVU	Provo Municipal Airport
KPWK	Chicago Executive Airport
KPWM	Portland International Jetport Airport
KPWT	Bremerton National Airport
KRAL	Riverside Municipal Airport
KRAP	Rapid City Regional Airport
KRBL	Red Bluff Municipal Airport
KRCA	Ellsworth Air Force Base
KRDD	Redding Municipal Airport
KRDG	Reading Regional Carl A Spaatz Field
KRDM	Roberts Field
KRDR	Grand Forks Air Force Base
KRDU	Raleigh Durham International Airport
KRFD	Chicago Rockford International Airport
KRHI	Rhinelander Oneida County Airport
KRIC	Richmond International Airport
KRIL	Garfield County Regional Airport
KRIV	March ARB Airport
KRIW	Riverton Regional Airport
KRKS	Southwest Wyoming Regional Airport
KRME	Griffiss International Airport
KRMG	Richard B Russell Airport
KRND	Randolph Air Force Base
KRNH	New Richmond Regional Airport
KRNO	Reno Tahoe International Airport
KROA	Roanokeâ€“Blacksburg Regional Airport
KROC	Greater Rochester International Airport
KROW	Roswell International Air Center Airport
KRSL	Russell Municipal Airport
KRST	Rochester International Airport
KRSW	Southwest Florida International Airport
KRUT	Rutland - Southern Vermont Regional Airport
KRVS	Richard Lloyd Jones Jr Airport
KRWF	Redwood Falls Municipal Airport
KRWI	Rocky Mount Wilson Regional Airport
KRWL	Rawlins Municipal Airport/Harvey Field
KRYY	Cobb County-Mc Collum Field
KSAC	Sacramento Executive Airport
KSAF	Santa Fe Municipal Airport
KSAN	San Diego International Airport
KSAT	San Antonio International Airport
KSAV	Savannah Hilton Head International Airport
KSAW	Sawyer International Airport
KSBA	Santa Barbara Municipal Airport
KSBD	San Bernardino International Airport
KSBN	South Bend Regional Airport
KSBP	San Luis County Regional Airport
KSBY	Salisbury Ocean City Wicomico Regional Airport
KSCH	Schenectady County Airport
KSCK	Stockton Metropolitan Airport
KSDF	Louisville International Standiford Field
KSDM	Brown Field Municipal Airport
KSDY	Sidney - Richland Regional Airport
KSEA	Seattle Tacoma International Airport
KSFB	Orlando Sanford International Airport
KSFF	Felts Field
KSFO	San Francisco International Airport
KSGF	Springfield Branson National Airport
KSGH	Springfield-Beckley Municipal Airport
KSGJ	Northeast Florida Regional Airport
KSGR	Sugar Land Regional Airport
KSGU	St George Municipal Airport
KSHR	Sheridan County Airport
KSHV	Shreveport Regional Airport
KSJC	Norman Y. Mineta San Jose International Airport
KSJT	San Angelo Regional Mathis Field
KSKA	Fairchild Air Force Base
KSKF	Lackland Air Force Base
KSLC	Salt Lake City International Airport
KSLE	Salem Municipal Airport/McNary Field
KSLI	Los Alamitos Army Air Field
KSLK	Adirondack Regional Airport
KSLN	Salina Municipal Airport
KSME	Lake Cumberland Regional Airport
KSMF	Sacramento International Airport
KSMN	Lemhi County Airport
KSMX	Santa Maria Pub/Capt G Allan Hancock Field
KSNA	John Wayne Airport-Orange County Airport
KSNS	Salinas Municipal Airport
KSNY	Sidney Municipal-Lloyd W Carr Field
KSOA	Sonora Municipal Airport
KSPI	Abraham Lincoln Capital Airport
KSPS	Sheppard Air Force Base-Wichita Falls Municipal Airport
KSRQ	Sarasota Bradenton International Airport
KSRR	Sierra Blanca Regional Airport
KSSC	Shaw Air Force Base
KSSF	Stinson Municipal Airport
KSSI	Malcolm McKinnon Airport
KSTC	St Cloud Regional Airport
KSTJ	Rosecrans Memorial Airport
KSTL	St Louis Lambert International Airport
KSTP	St Paul Downtown Holman Field
KSTS	Charles M. Schulz Sonoma County Airport
KSUN	Friedman Memorial Airport
KSUS	Spirit of St Louis Airport
KSUU	Travis Air Force Base
KSUX	Sioux Gateway Col. Bud Day Field
KSUZ	Saline County Regional Airport
KSVN	Hunter Army Air Field
KSWF	Stewart International Airport
KSWO	Stillwater Regional Airport
KSYR	Syracuse Hancock International Airport
KSZL	Whiteman Air Force Base
KTBN	Waynesville-St. Robert Regional Forney field
KTCC	Tucumcari Municipal Airport
KTCL	Tuscaloosa Regional Airport
KTCM	McChord Air Force Base
KTCS	Truth Or Consequences Municipal Airport
KTEB	Teterboro Airport
KTIK	Tinker Air Force Base
KTIW	Tacoma Narrows Airport
KTIX	Space Coast Regional Airport
KTLH	Tallahassee Regional Airport
KTMB	Kendall-Tamiami Executive Airport
KTOI	Troy Municipal Airport at N Kenneth Campbell Field
KTOL	Toledo Express Airport
KTOP	Philip Billard Municipal Airport
KTPA	Tampa International Airport
KTPH	Tonopah Airport
KTPL	Draughon Miller Central Texas Regional Airport
KTRI	Tri-Cities Regional TN/VA Airport
KTRK	Truckee Tahoe Airport
KTRM	Jacqueline Cochran Regional Airport
KTTD	Portland Troutdale Airport
KTTN	Trenton Mercer Airport
KTTS	Nasa Shuttle Landing Facility Airport
KTUL	Tulsa International Airport
KTUP	Tupelo Regional Airport
KTUS	Tucson International Airport
KTVC	Cherry Capital Airport
KTVL	Lake Tahoe Airport
KTWF	Joslin Field Magic Valley Regional Airport
KTXK	Texarkana Regional Webb Field
KTYR	Tyler Pounds Regional Airport
KTYS	McGhee Tyson Airport
KUAO	Aurora State Airport
KUIN	Quincy Regional Baldwin Field
KUKI	Ukiah Municipal Airport
KUNV	University Park Airport
KUOX	University Oxford Airport
KUTS	Huntsville Regional Airport
KVAD	Moody Air Force Base
KVBG	Vandenberg Air Force Base
KVCT	Victoria Regional Airport
KVEL	Vernal Regional Airport
KVGT	North Las Vegas Airport
KVLD	Valdosta Regional Airport
KVNY	Van Nuys Airport
KVOK	Volk Field
KVPS	Destin-Ft Walton Beach Airport
KVPZ	Porter County Municipal Airport
KVRB	Vero Beach Regional Airport
KVTN	Miller Field
KW63	Lake Country Regional Airport
KWJF	General WM J Fox Airfield
KWMC	Winnemucca Municipal Airport
KWRB	Robins Air Force Base
KWRI	Mc Guire Air Force Base
KWRL	Worland Municipal Airport
KWWD	Cape May County Airport
KWWR	West Woodward Airport
KWY	Kiwayu Airport
KWYS	Yellowstone Airport
KXMR	Cape Canaveral AFS Skid Strip
KXNA	Northwest Arkansas Regional Airport
KXTA	Homey (Area 51) Airport
KYIP	Willow Run Airport
KYKM	Yakima Air Terminal McAllister Field
KYKN	Chan Gurney Municipal Airport
KYNG	Youngstown Warren Regional Airport
KZ-0016	Taldykorgan Airport
KZ-0067	Krainiy Airport
KZ-0068	Kurchatov Airfield
KZ-0069	Zhangiztobe Air Base
KZ-7470	Dolon Air Base
KZZV	Zanesville Municipal Airport
LAKU	KukÃ«s Airport
LAKV	KuÃ§ovÃ« Air Base
LATI	Tirana International Airport Mother Teresa
LAVL	VlorÃ« Air Base
LBBG	Burgas Airport
LBGO	Gorna Oryahovitsa Airport
LBHS	Haskovo Malevo Airport
LBMG	Gabrovnitsa Air Base
LBPD	Plovdiv International Airport
LBPG	Graf Ignatievo Air Base
LBPL	Dolna Mitropoliya Air Base
LBSF	Sofia Airport
LBWB	Balchik Air Base
LBWN	Varna Airport
LCEN	Ercan International Airport
LCLK	Larnaca International Airport
LCPH	Paphos International Airport
LCRA	RAF Akrotiri
LDDU	Dubrovnik Airport
LDOS	Osijek Airport
LDPL	Pula Airport
LDRI	Rijeka Airport
LDSB	Bol Airport
LDSP	Split Airport
LDZA	Zagreb Airport
LDZD	Zadar Airport
LEAB	Albacete-Los Llanos Airport
LEAL	Alicante International Airport
LEAM	AlmerÃ­a International Airport
LEAS	Asturias Airport
LEBA	CÃ³rdoba Airport
LEBB	Bilbao Airport
LEBG	Burgos Airport
LEBL	Barcelona International Airport
LEBZ	Badajoz Airport
LECH	CastellÃ³n-Costa Azahar Airport
LECO	A CoruÃ±a Airport
LECU	Cuatro Vientos Airport
LEDA	Lleida-Alguaire Airport
LEDS	CastellÃ³n-Costa Azahar Airport
LEGA	Armilla Air Base
LEGE	Girona Airport
LEGR	Federico Garcia Lorca Airport
LEGT	Getafe Air Base
LEIB	Ibiza Airport
LEJR	Jerez Airport
LELC	San Javier Airport
LELN	Leon Airport
LEMD	Adolfo SuÃ¡rez Madridâ€“Barajas Airport
LEMG	MÃ¡laga Airport
LEMH	Menorca Airport
LEMO	Moron Air Base
LEPA	Palma De Mallorca Airport
LEPP	Pamplona Airport
LERI	Alcantarilla Air Base
LERS	Reus Air Base
LERT	Rota Naval Station Airport
LESA	Salamanca Airport
LESO	San Sebastian Airport
LEST	Santiago de Compostela Airport
LETL	Teruel Airport
LETO	TorrejÃ³n Airport
LEVC	Valencia Airport
LEVD	Valladolid Airport
LEVT	Vitoria/Foronda Airport
LEVX	Vigo Airport
LEXJ	Santander Airport
LEZG	Zaragoza Air Base
LEZL	Sevilla Airport
LFAC	Calais-Dunkerque Airport
LFAG	PÃ©ronne-Saint-Quentin Airport
LFAT	Le Touquet-CÃ´te d'Opale Airport
LFAV	Valenciennes-Denain Airport
LFAY	Amiens-Glisy Airport
LFBA	Agen-La Garenne Airport
LFBC	Cazaux (BA 120) Air Base
LFBD	Bordeaux-MÃ©rignac Airport
LFBE	Bergerac-RoumaniÃ¨re Airport
LFBF	Toulouse-Francazal (BA 101) Air Base
LFBG	Cognac-ChÃ¢teaubernard (BA 709) Air Base
LFBH	La Rochelle-ÃŽle de RÃ© Airport
LFBI	Poitiers-Biard Airport
LFBK	MontluÃ§on-GuÃ©ret Airport
LFBL	Limoges Airport
LFBM	Mont-de-Marsan (BA 118) Air Base
LFBN	Niort-SouchÃ© Airport
LFBO	Toulouse-Blagnac Airport
LFBP	Pau PyrÃ©nÃ©es Airport
LFBT	Tarbes-Lourdes-PyrÃ©nÃ©es Airport
LFBU	AngoulÃªme-Brie-Champniers Airport
LFBX	PÃ©rigueux-Bassillac Airport
LFBZ	Biarritz-Anglet-Bayonne Airport
LFCC	Cahors-Lalbenque Airport
LFCG	Saint-Girons-Antichan Airport
LFCH	Arcachon-La Teste-de-Buch Airport
LFCI	Albi-Le SÃ©questre Airport
LFCK	Castres-Mazamet Airport
LFCR	Rodez-Marcillac Airport
LFCY	Royan-MÃ©dis Airport
LFDB	Montauban Airport
LFDH	Auch-Lamothe Airport
LFDI	Libourne-Artigues-de-Lussac Airport
LFDN	Rochefort-Saint-Agnant (BA 721) Airport
LFEY	ÃŽle d'Yeu Airport
LFGA	Colmar-Houssen Airport
LFGJ	Dole-Tavaux Airport
LFGW	Verdun-Le Rozelier Airfield
LFHO	Aubenas-ArdÃ¨che MÃ©ridional Airport
LFHP	Le Puy-Loudes Airport
LFJL	Metz-Nancy-Lorraine Airport
LFJR	Angers-Loire Airport
LFKB	Bastia-Poretta Airport
LFKC	Calvi-Sainte-Catherine Airport
LFKF	Figari Sud-Corse Airport
LFKJ	Ajaccio-NapolÃ©on Bonaparte Airport
LFKS	Solenzara (BA 126) Air Base
LFLA	Auxerre-Branches Airport
LFLB	ChambÃ©ry-Savoie Airport
LFLC	Clermont-Ferrand Auvergne Airport
LFLD	Bourges Airport
LFLH	Chalon-Champforgeuil Airport
LFLI	Annemasse Airport
LFLL	Lyon Saint-ExupÃ©ry Airport
LFLM	MÃ¢con-Charnay Airport
LFLN	Saint-Yan Airport
LFLO	Roanne-Renaison Airport
LFLP	Annecy-Haute-Savoie-Mont Blanc Airport
LFLS	Grenoble-IsÃ¨re Airport
LFLU	Valence-Chabeuil Airport
LFLV	Vichy-Charmeil Airport
LFLW	Aurillac Airport
LFLX	ChÃ¢teauroux-DÃ©ols "Marcel Dassault" Airport
LFLY	Lyon-Bron Airport
LFMC	Le Luc-Le Cannet Airport
LFMD	Cannes-Mandelieu Airport
LFMH	Saint-Ã‰tienne-BouthÃ©on Airport
LFMI	Istres Le TubÃ©/Istres Air Base (BA 125) Airport
LFMK	Carcassonne Airport
LFML	Marseille Provence Airport
LFMN	Nice-CÃ´te d'Azur Airport
LFMO	Orange-Caritat (BA 115) Air Base
LFMP	Perpignan-Rivesaltes (LlabanÃ¨re) Airport
LFMQ	Le Castellet Airport
LFMS	AlÃ¨s-Deaux Airport
LFMT	Montpellier-MÃ©diterranÃ©e Airport
LFMU	BÃ©ziers-Vias Airport
LFMV	Avignon-Caumont Airport
LFMY	Salon-de-Provence (BA 701) Air Base
LFNB	Mende-Brenoux Airfield
LFOA	Avord (BA 702) Air Base
LFOB	Paris Beauvais TillÃ© Airport
LFOC	ChÃ¢teaudun (BA 279) Air Base
LFOD	Saumur-Saint-Florent Airport
LFOE	Ã‰vreux-Fauville (BA 105) Air Base
LFOH	Le Havre Octeville Airport
LFOI	Abbeville
LFOJ	OrlÃ©ans-Bricy (BA 123) Air Base
LFOK	ChÃ¢lons-Vatry Airport
LFOP	Rouen Airport
LFOQ	Blois-Le Breuil Airport
LFOT	Tours-Val-de-Loire Airport
LFOU	Cholet Le Pontreau Airport
LFOV	Laval-Entrammes Airport
LFPB	Paris-Le Bourget Airport
LFPC	Creil Air Base
LFPG	Charles de Gaulle International Airport
LFPM	Melun-Villaroche Air Base
LFPN	Toussus-le-Noble Airport
LFPO	Paris-Orly Airport
LFPT	Pontoise - Cormeilles-en-Vexin Airport
LFPV	Villacoublay-VÃ©lizy (BA 107) Air Base
LFQB	Troyes-Barberey Airport
LFQE	Ã‰tain-Rouvres Air Base
LFQG	Nevers-Fourchambault Airport
LFQJ	Maubeuge-Ã‰lesmes Airport
LFQP	Phalsbourg-Bourscheid Air Base
LFQQ	Lille-Lesquin Airport
LFQT	Merville-Calonne Airport
LFQV	Charleville-MÃ©ziÃ¨res Airport
LFQW	Vesoul-Frotey Airport
LFRB	Brest Bretagne Airport
LFRC	Cherbourg-Maupertus Airport
LFRD	Dinard-Pleurtuit-Saint-Malo Airport
LFRE	La Baule-Escoublac Airport
LFRF	Granville Airport
LFRG	Deauville-Saint-Gatien Airport
LFRH	Lorient South Brittany (Bretagne Sud) Airport
LFRI	La Roche-sur-Yon Airport
LFRJ	Landivisiau Air Base
LFRK	Caen-Carpiquet Airport
LFRL	LanvÃ©oc-Poulmic Air Base
LFRM	Le Mans-Arnage Airport
LFRN	Rennes-Saint-Jacques Airport
LFRO	Lannion-CÃ´te de Granit Airport
LFRQ	Quimper-Cornouaille Airport
LFRS	Nantes Atlantique Airport
LFRT	Saint-Brieuc-Armor Airport
LFRU	Morlaix-Ploujean Airport
LFRV	Vannes-Meucon Airport
LFRZ	Saint-Nazaire-Montoir Airport
LFSB	EuroAirport Basel-Mulhouse-Freiburg Airport
LFSD	Dijon-Bourgogne Airport
LFSG	Ã‰pinal-Mirecourt Airport
LFSI	Saint-Dizier-Robinson (BA 113) Air Base
LFSM	MontbÃ©liard-Courcelles Airfield
LFSN	Nancy-Essey Airport
LFSO	Nancy-Ochey (BA 133) Air Base
LFST	Strasbourg Airport
LFSX	Luxeuil-Saint-Sauveur (BA 116) Air Base
LFTH	Toulon-HyÃ¨res Airport
LFTW	NÃ®mes-Arles-Camargue Airport
LFVM	Miquelon Airport
LFVP	St Pierre Airport
