5A8	Aleknagik / New Airport
CYIV	Island Lake Airport
CYJF	Fort Liard Airport
CYJN	St Jean Airport
CYJT	Stephenville Airport
CYKA	Kamloops Airport
CYKD	Aklavik/Freddie Carmichael Airport
CYKF	Waterloo Airport
CYKG	Kangiqsujuaq (Wakeham Bay) Airport
CYKJ	Key Lake Airport
CYKL	Schefferville Airport
CYKO	Akulivik Airport
CYKQ	Waskaganish Airport
CYKX	Kirkland Lake Airport
CYKY	Kindersley Airport
CYKZ	Buttonville Municipal Airport
CYLA	Aupaluk Airport
CYLC	Kimmirut Airport
CYLD	Chapleau Airport
CYLH	Lansdowne House Airport
CYLJ	Meadow Lake Airport
CYLK	Lutselk'e Airport
CYLL	Lloydminster Airport
CYLR	Leaf Rapids Airport
CYLT	Alert Airport
CYLU	Kangiqsualujjuaq (Georges River) Airport
CYLW	Kelowna International Airport
CYMA	Mayo Airport
CYME	Matane Airport
CYMG	Manitouwadge Airport
CYMH	Mary's Harbour Airport
CYMJ	Moose Jaw Air Vice Marshal C. M. McEwen Airport
CYML	Charlevoix Airport
CYMM	Fort McMurray Airport
CYMO	Moosonee Airport
CYMT	Chapais Airport
CYMU	Umiujaq Airport
CYMX	Montreal International (Mirabel) Airport
CYNA	Natashquan Airport
CYNC	Wemindji Airport
CYND	Ottawa / Gatineau Airport
CYNE	Norway House Airport
CYNL	Points North Landing Airport
CYNM	Matagami Airport
CYNN	Nejanilini Lake Airport
CYOA	Ekati Airport
CYOC	Old Crow Airport
CYOD	CFB Cold Lake
CYOH	Oxford House Airport
CYOJ	High Level Airport
CYOO	Toronto/Oshawa Executive Airport
CYOP	Rainbow Lake Airport
CYOS	Owen Sound / Billy Bishop Regional Airport
CYOW	Ottawa Macdonald-Cartier International Airport
CYPA	Prince Albert Glass Field
CYPC	Paulatuk (Nora Aliqatchialuk Ruben) Airport
CYPD	Port Hawkesbury Airport
CYPE	Peace River Airport
CYPG	Southport Airport
CYPH	Inukjuak Airport
CYPL	Pickle Lake Airport
CYPM	Pikangikum Airport
CYPN	Port Menier Airport
CYPO	Peawanuck Airport
CYPQ	Peterborough Airport
CYPR	Prince Rupert Airport
CYPW	Powell River Airport
CYPX	Puvirnituq Airport
CYPY	Fort Chipewyan Airport
CYQA	Muskoka Airport
CYQB	Quebec Jean Lesage International Airport
CYQD	The Pas Airport
CYQF	Red Deer Regional Airport
CYQG	Windsor Airport
CYQH	Watson Lake Airport
CYQI	Yarmouth Airport
CYQK	Kenora Airport
CYQL	Lethbridge County Airport
CYQM	Greater Moncton International Airport
CYQN	Nakina Airport
CYQQ	Comox Airport
CYQR	Regina International Airport
CYQS	St Thomas Municipal Airport
CYQT	Thunder Bay Airport
CYQU	Grande Prairie Airport
CYQV	Yorkton Municipal Airport
CYQW	North Battleford Airport
CYQX	Gander International Airport
CYQY	Sydney / J.A. Douglas McCurdy Airport
CYQZ	Quesnel Airport
CYRA	Rae Lakes Airport
CYRB	Resolute Bay Airport
CYRI	RiviÃ¨re-du-Loup Airport
CYRJ	Roberval Airport
CYRL	Red Lake Airport
CYRO	Ottawa / Rockcliffe Airport
CYRP	Ottawa / Carp Airport
CYRQ	Trois-RiviÃ¨res Airport
CYRS	Red Sucker Lake Airport
CYRT	Rankin Inlet Airport
CYRV	Revelstoke Airport
CYSB	Sudbury Airport
CYSC	Sherbrooke Airport
CYSF	Stony Rapids Airport
CYSG	St Georges Airport
CYSH	Smiths Falls-Montague (Russ Beach) Airport
CYSJ	Saint John Airport
CYSK	Sanikiluaq Airport
CYSL	St Leonard Airport
CYSM	Fort Smith Airport
CYSN	Niagara District Airport
CYSP	Marathon Airport
CYST	St. Theresa Point Airport
CYSU	Summerside Airport
CYSY	Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport
CYTA	Pembroke Airport
CYTE	Cape Dorset Airport
CYTF	Alma Airport
CYTH	Thompson Airport
CYTL	Big Trout Lake Airport
CYTQ	Tasiujaq Airport
CYTR	CFB Trenton
CYTS	Timmins/Victor M. Power
CYTZ	Billy Bishop Toronto City Centre Airport
CYUB	Tuktoyaktuk Airport
CYUL	Montreal / Pierre Elliott Trudeau International Airport
CYUT	Repulse Bay Airport
CYUX	Hall Beach Airport
CYUY	Rouyn Noranda Airport
CYVB	Bonaventure Airport
CYVC	La Ronge Airport
CYVD	Virden/R.J. (Bob) Andrew Field Regional Aerodrome
CYVK	Vernon Airport
CYVM	Qikiqtarjuaq Airport
CYVO	Val-d'Or Airport
CYVP	Kuujjuaq Airport
CYVQ	Norman Wells Airport
CYVR	Vancouver International Airport
CYVV	Wiarton Airport
CYVZ	Deer Lake Airport
CYWA	Petawawa Airport
CYWG	Winnipeg / James Armstrong Richardson International Airport
CYWJ	DÃ©line Airport
CYWK	Wabush Airport
CYWL	Williams Lake Airport
CYWP	Webequie Airport
CYWY	Wrigley Airport
CYXC	Cranbrook/Canadian Rockies International Airport
CYXE	Saskatoon John G. Diefenbaker International Airport
CYXH	Medicine Hat Airport
CYXJ	Fort St John Airport
CYXK	Rimouski Airport
CYXL	Sioux Lookout Airport
CYXN	Whale Cove Airport
CYXP	Pangnirtung Airport
CYXQ	Beaver Creek Airport
CYXR	Earlton (Timiskaming Regional) Airport
CYXS	Prince George Airport
CYXT	Northwest Regional Airport Terrace-Kitimat
CYXU	London Airport
CYXX	Abbotsford Airport
CYXY	Whitehorse / Erik Nielsen International Airport
CYXZ	Wawa Airport
CYYB	North Bay Jack Garland Airport
CYYC	Calgary International Airport
CYYD	Smithers Airport
CYYE	Fort Nelson Airport
CYYF	Penticton Airport
CYYG	Charlottetown Airport
CYYH	Taloyoak Airport
CYYJ	Victoria International Airport
CYYL	Lynn Lake Airport
CYYN	Swift Current Airport
CYYQ	Churchill Airport
CYYR	Goose Bay Airport
CYYT	St. John's International Airport
CYYU	Kapuskasing Airport
CYYW	Armstrong Airport
CYYY	Mont Joli Airport
CYYZ	Lester B. Pearson International Airport
CYZD	Downsview Airport
CYZE	Gore Bay Manitoulin Airport
CYZF	Yellowknife Airport
CYZG	Salluit Airport
CYZH	Slave Lake Airport
CYZP	Sandspit Airport
CYZR	Chris Hadfield Airport
CYZS	Coral Harbour Airport
CYZT	Port Hardy Airport
CYZU	Whitecourt Airport
CYZV	Sept-ÃŽles Airport
CYZW	Teslin Airport
CYZX	CFB Greenwood
CYZY	Mackenzie Airport
CZAC	York Landing Airport
CZAM	Shuswap Regional Airport
CZBB	Boundary Bay Airport
CZBD	Ilford Airport
CZBF	Bathurst Airport
CZBM	Bromont (Roland Desourdy) Airport
CZEE	Kelsey Airport
CZEM	Eastmain River Airport
CZFA	Faro Airport
CZFD	Fond-Du-Lac Airport
CZFG	Pukatawagan Airport
CZFM	Fort Mcpherson Airport
CZFN	Tulita Airport
CZGF	Grand Forks Airport
CZGI	Gods River Airport
CZGR	Little Grand Rapids Airport
CZJG	Jenpeg Airport
CZJN	Swan River Airport
CZKE	Kashechewan Airport
CZLQ	Thicket Portage Airport
CZMD	Muskrat Dam Airport
CZMN	Pikwitonei Airport
CZMT	Masset Airport
CZNG	Poplar River Airport
CZPB	Sachigo Lake Airport
CZPC	Pincher Creek Airport
CZRJ	Round Lake (Weagamow Lake) Airport
CZSJ	Sandy Lake Airport
CZSN	South Indian Lake Airport
CZST	Stewart Airport
CZTM	Shamattawa Airport
CZUC	Ignace Municipal Airport
CZWH	Lac Brochet Airport
CZWL	Wollaston Lake Airport
DAAB	Blida Airport
DAAD	Bou Saada Airport
DAAE	Soummam Airport
DAAG	Houari Boumediene Airport
DAAJ	Djanet Inedbirene Airport
DAAK	Boufarik Airport
DAAP	Illizi Takhamalt Airport
DAAS	Ain Arnat Airport
DAAT	Aguenar â€“ Hadj Bey Akhamok Airport
DAAV	Jijel Ferhat Abbas Airport
DAAY	Mecheria Airport
DAAZ	Relizane Airport
DABB	Rabah Bitat Airport
DABC	Mohamed Boudiaf International Airport
DABS	Cheikh Larbi TÃ©bessi Airport
DABT	Batna Airport
DAFH	Hassi R'Mel Airport
DAOB	Bou Chekif Airport
DAOF	Tindouf Airport
DAOI	Ech Cheliff Airport
DAOL	Tafaraoui Airport
DAON	Zenata â€“ Messali El Hadj Airport
DAOO	Es Senia Airport
DAOR	BÃ©char Boudghene Ben Ali Lotfi Airport
DAOV	Ghriss Airport
DAUA	Touat Cheikh Sidi Mohamed Belkebir Airport
DAUB	Biskra Airport
DAUE	El Golea Airport
DAUG	NoumÃ©rat - Moufdi Zakaria Airport
DAUH	Oued Irara Airport
DAUI	In Salah Airport
DAUK	Touggourt Sidi Madhi Airport
DAUL	Laghouat Airport
DAUO	Guemar Airport
DAUT	Timimoun Airport
DAUU	Ain el Beida Airport
DAUZ	In AmÃ©nas Airport
DBBB	Cadjehoun Airport
DBC	Baicheng Chang'an Airport
DFFD	Ouagadougou Airport
DFOO	Bobo Dioulasso Airport
DGAA	Kotoka International Airport
DGLE	Tamale Airport
DGSI	Kumasi Airport
DGSN	Sunyani Airport
DGTK	Takoradi Airport
DIAP	Port Bouet Airport
DIBK	BouakÃ© Airport
DIDL	Daloa Airport
DIKO	Korhogo Airport
DIMN	Man Airport
DISP	San Pedro Airport
DIYO	Yamoussoukro Airport
DNAA	Nnamdi Azikiwe International Airport
DNAI	Akwa Ibom International Airport
DNAK	Akure Airport
DNAS	Asaba International Airport
DNBC	Sir Abubakar Tafawa Balewa International Airport
DNBE	Benin Airport
DNCA	Margaret Ekpo International Airport
DNEN	Akanu Ibiam International Airport
DNGU	Gusau Airport
DNIB	Ibadan Airport
DNIL	Ilorin International Airport
DNIM	Sam Mbakwe International Airport
DNJO	Yakubu Gowon Airport
DNKA	Kaduna Airport
DNKN	Mallam Aminu International Airport
DNMA	Maiduguri International Airport
DNMK	Makurdi Airport
DNMM	Murtala Muhammed International Airport
DNMN	Minna Airport
DNPO	Port Harcourt International Airport
DNSO	Sadiq Abubakar III International Airport
DNYO	Yola Airport
DNZA	Zaria Airport
DRRM	Maradi Airport
DRRN	Diori Hamani International Airport
DRRT	Tahoua Airport
DRZA	Mano Dayak International Airport
DRZR	Zinder Airport
DTKA	Tabarka 7 Novembre Airport
DTMB	Monastir Habib Bourguiba International Airport
DTTA	Tunis Carthage International Airport
DTTB	Sidi Ahmed Air Base
DTTD	Remada Air Base
DTTF	Gafsa Ksar International Airport
DTTG	GabÃ¨s Matmata International Airport
DTTJ	Djerba Zarzis International Airport
DTTR	El Borma Airport
DTTX	Sfax Thyna International Airport
DTTZ	Tozeur Nefta International Airport
DXNG	Niamtougou International Airport
DXXX	LomÃ©-Tokoin Airport
EBAW	Antwerp International Airport (Deurne)
EBBE	Beauvechain Air Base
EBBL	Kleine Brogel Air Base
EBBR	Brussels Airport
EBCI	Brussels South Charleroi Airport
EBCV	ChiÃ¨vres Air Base
EBFN	Koksijde Air Base
EBFS	Florennes Air Base
EBKT	Wevelgem Airport
EBLG	LiÃ¨ge Airport
EBOS	Ostend-Bruges International Airport
EDAC	Altenburg-Nobitz Airport
EDAH	Heringsdorf Airport
EDBM	Magdeburg "City" Airport
EDBN	Neubrandenburg Airport
EDBR	Rothenburg/GÃ¶rlitz Airport
EDCD	Cottbus-Drewitz Airport
EDDB	Berlin-SchÃ¶nefeld Airport
EDDC	Dresden Airport
EDDE	Erfurt Airport
EDDF	Frankfurt am Main Airport
EDDG	MÃ¼nster OsnabrÃ¼ck Airport
EDDH	Hamburg Airport
EDDK	Cologne Bonn Airport
EDDL	DÃ¼sseldorf Airport
EDDM	Munich Airport
EDDN	Nuremberg Airport
EDDP	Leipzig/Halle Airport
EDDR	SaarbrÃ¼cken Airport
EDDS	Stuttgart Airport
EDDT	Berlin-Tegel Airport
EDDV	Hannover Airport
